CODE;GROUP_CODE;NAME
3505;Hotel/Motel (Lodging);3505 Forte Hotels
3526;Hotel/Motel (Lodging);3526 Prince Hotels
3537;Hotel/Motel (Lodging);3537 Ana Hotels
3544;Hotel/Motel (Lodging);3544 Ciga Hotels
3563;Hotel/Motel (Lodging);3563 Jouney's End Hotels
3559;Hotel/Motel (Lodging);3559 CANDLEWOOD SUITES
3737;Hotel/Motel (Lodging);3737 Riviera Hotel And Casino
3752;Hotel/Motel (Lodging);3752 Peabody Hotels
3624;Hotel/Motel (Lodging);3624 Lady Luck Hotel And Casino
3701;Hotel/Motel (Lodging);3701 La Mansion Del Rio
3772;Hotel/Motel (Lodging);3772 Nemacolin Woodlands
3819;Hotel/Motel (Lodging);3819 OXFORD SUITES
3827;Hotel/Motel (Lodging);3827 GALT HOUSE
3835;Hotel/Motel (Lodging);3835 Dolce Hotels and Resorts
3781;Hotel/Motel (Lodging);3781 Patricia Grand Resort Hotel
3785;Hotel/Motel (Lodging);3785 Outrigger Hotels And Resort
3792;Hotel/Motel (Lodging);3792 Claridge Casino Hotels
3556;Hotel/Motel (Lodging);3556 BARTON CREEK RESORT
3623;Hotel/Motel (Lodging);3623 Dorint Hotels
3634;Hotel/Motel (Lodging);3634 Swiss Hotels
3640;Hotel/Motel (Lodging);3640 Hyatt Hotels/Int'l
3644;Hotel/Motel (Lodging);3644 Econo-Travel Mtr Htl
3649;Hotel/Motel (Lodging);3649 Radisson Hotels
3650;Hotel/Motel (Lodging);3650 Red Roof Inns
3653;Hotel/Motel (Lodging);3653 Penta Hotels
3659;Hotel/Motel (Lodging);3659 Taj Hotels Int'l
3671;Hotel/Motel (Lodging);3671 Arctia Hotels
3686;Hotel/Motel (Lodging);3686 Suisse Hotels
3694;Hotel/Motel (Lodging);3694 Economy Inns Of America
3698;Hotel/Motel (Lodging);3698 Harley Hotels
3710;Hotel/Motel (Lodging);3710 The Ritz Carlton
3716;Hotel/Motel (Lodging);3716 Carlton Hotels
3578;Hotel/Motel (Lodging);3578 FRANKENMUTH BAVARIAN
3596;Hotel/Motel (Lodging);3596 WYNN LAS VEGAS
3813;Hotel/Motel (Lodging);3813 HOTEL INDIGO
5021;Mail/Telephone/Preauth order;5021 Office And Commercial Furni
5047;Mail/Telephone/Preauth order;5047 Lab/Medic/Dental/Opth/Equip
5169;Mail/Telephone/Preauth order;5169 Chemicals/Allied Prod N-Els
6538;Mail/Telephone/Preauth order;6538 MasterCard MoneySend Funding Transaction
5816;Mail/Telephone/Preauth order;5816 Digital Goods - Games
3054;Transportation;3054 Ladeco (Chile)
3067;Transportation;3067 Vanguard Airlines
3125;Transportation;3125 Tan Sahsa
3130;Transportation;3130 Sun World Int`l
3143;Transportation;3143 Scenic Airlines
3170;Transportation;3170 Mount Cook
3181;Transportation;3181 Malev
3190;Transportation;3190 Jugoslav Air
3197;Transportation;3197 Havasu Airlines
3200;Transportation;3200 Guyana Airways
3212;Transportation;3212 Dominicana
3218;Transportation;3218 Crown Air
3286;Transportation;3286 Aero Nicaraguensis
3001;Transportation;3001 American Airlines
3018;Transportation;3018 Varig (Brazil)
3022;Transportation;3022 Philippine Airlines
3023;Transportation;3023 Mexicana
3024;Transportation;3024 Pakistan Int'l
4011;Transportation;4011 Railroads - Freight
4131;Transportation;4131 Bus Lines
3115;Transportation;3115 Tower Air
3226;Transportation;3226 SKYWAYS
3246;Transportation;3246 RYANAIR
3247;Transportation;3247 GOL AIRLINES
3357;Vehicle Rental;3357 Hertz Corporation
3359;Vehicle Rental;3359 Payless Car Rental
3360;Vehicle Rental;3360 Snappy Car Rental
3368;Vehicle Rental;3368 Holiday Rent-A-Car
3376;Vehicle Rental;3376 Ajax Rent-A-Car
3381;Vehicle Rental;3381 Europ Car
3387;Vehicle Rental;3387 Alama Rent-A-Car
3400;Vehicle Rental;3400 Auto Host Car Rental
3427;Vehicle Rental;3427 Avon Rent-A-Car
3428;Vehicle Rental;3428 Carey Rent-A-Car
3435;Vehicle Rental;3435 Value Rent-A-Car
3436;Vehicle Rental;3436 Autohansa Rent-A-Car
3355;Vehicle Rental;3355 SIXT CAR RENTAL
6529;Unique;(Obsolete) 6529 Remote Stored Value Load
6011;Financial Institutions;6011 ATM
8062;Hospitalization/School Expense;8062 Hospitals
7278;Retail Purchase;7278 Buying/shopping Services
7531;Retail Purchase;7531 Automotive Top & Body Shops
7622;Retail Purchase;7622 Electronic Repair Shops
7692;Retail Purchase;7692 Welding Repair
7929;Retail Purchase;7929 Bands, Orchestras And Misce
5013;Retail Purchase;5013 Motor Vehicle Parts/Supplie
7994;Retail Purchase;7994 Video Games Arcades/establi
8044;Retail Purchase;8044 ---------------------------
8734;Retail Purchase;8734 Testing Labs Non-medical
8911;Retail Purchase;8911 Engineering,architectural
9405;Retail Purchase;9405 Intra Government Purchases
5976;Retail Purchase;5976 Orthopedic Goods - Artifici
5995;Retail Purchase;5995 Pet Shops-pet Foods & Suppl
5199;Retail Purchase;5199 Nondurable Goods N-Else
5422;Retail Purchase;5422 Freezer And Locker Meat Pro
5511;Retail Purchase;5511 Automobile & Truck Dealers
5541;Retail Purchase;5541 Service Stations
5551;Retail Purchase;5551 Boat Dealers
5641;Retail Purchase;5641 Children's And Infant's Wea
5655;Retail Purchase;5655 Sports Apparel,riding App.s
5719;Retail Purchase;5719 Miscellaneous House Furnish
5732;Retail Purchase;5732 Electronic Sales
5734;Retail Purchase;5734 Record Shops
5933;Retail Purchase;5933 Pawn Shops
5935;Retail Purchase;5935 Wrecking & Salvage Yards
5941;Retail Purchase;5941 Sporting Goods Stores
6028;Retail Purchase;6028 Unicorporated Private Banks
6537;Payment Services;6537 MasterCard MoneySend Intercountry
3523;Hotel/Motel (Lodging);3523 Pennisilvania Hotels
3527;Hotel/Motel (Lodging);3527 Downtowner-Passport
3540;Hotel/Motel (Lodging);3540 Iberotel
3545;Hotel/Motel (Lodging);3545 Shangri-la International
3550;Hotel/Motel (Lodging);3550 Regal 8 Inns
3745;Hotel/Motel (Lodging);3745 St. Regis Hotel
3755;Hotel/Motel (Lodging);3755 The Homestead
3758;Hotel/Motel (Lodging);3758 Kahala Mandarin Oriental Ho
3759;Hotel/Motel (Lodging);3759 The Orchid At Mauna Lani
3760;Hotel/Motel (Lodging);3760 Halekulani/Waikiki Parc
3628;Hotel/Motel (Lodging);3628 Excalibur Hotel And Casino
3662;Hotel/Motel (Lodging);3662 Circus Circus Hotel Casino
3669;Hotel/Motel (Lodging);3669 Eldorado Hotel And Casino
3761;Hotel/Motel (Lodging);3761 Primadonna Hotel And Casino
3763;Hotel/Motel (Lodging);3763 Chateau Elan Winery Resort
3767;Hotel/Motel (Lodging);3767 Main Street Hotel And Casin
3771;Hotel/Motel (Lodging);3771 Caesars Hotel And Casino
3837;Hotel/Motel (Lodging);3837 HOSHINO RESORTS
3793;Hotel/Motel (Lodging);3793 The Flamingo Hotels
3615;Hotel/Motel (Lodging);3615 Travelodge Motels
3625;Hotel/Motel (Lodging);3625 Hotel Universal
